objectid,title,creator,specific_date,date,description,subject,location,latitude,longitude,source,identifier,type,specific_format,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,finding_aid,visibility,extent
w3763b77v,San Luis Obispo County Dental Clinic Daily Work Records,,1905-04-05,1905-04-05,Daily work records for May and June 1922 of the San Luis Obispo County Dental Clinic,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 22 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-2-d-01-22-05,Text,Document,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/mk61rm92s,,https://archives.calstate.edu/downloads/mk61rm92s?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
dj52w857k,Correspondence to Chris Juperre (?) to Cubbert Wilson (?),Chris Juperre,,,Letter of recommendation for the appointment of Grace Barneberg to the Board of the Women's Prison,,"Sacramento, California, United States",,,"MS0002-- BOX 1-- FOLDER 23 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-2-e-01-23-01,Text,Letter,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/6108vg41t,,https://archives.calstate.edu/downloads/6108vg41t?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
d217qt55s,"[San Quentin Prison Report:] Educational, Library, and Religious Activities for the biennium ending June 30, 1928",,1928-07-01,1928-07-01,"Detailed report of the activities at San Quentin prison including: facilities improvements, educational activity, the completion of the women's prison, road camps, instructional classes, the quality of work completed by the students, summary of education of inmates prior to incarceration, recommendations to improve, library book circulation, religious activity, schedule of religious services offered.",,"San Quentin, California, United States",,,"MS0002-- BOX 1-- FOLDER 23 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-2-e-01-23-02,Text,Report,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/wh246w94c,,https://archives.calstate.edu/downloads/wh246w94c?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
m613n208f,World Friendship Among Children,The Committee on World Friendship Among Children,1905-04-11,1905-04-11,"Front Cover, Brochure, 1928 for a program for American children to send letters and school supplies to children in Mexico.",,"New York, United States",,,"MS0002-- BOX 1-- FOLDER 24 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-2-f-01-24-01,Text,Pamphlet,image/jpeg,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/bc8b9c0af08c20302b96398ae3129d94069a3572/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/bc8b9c0af08c20302b96398ae3129d94069a3572/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/bc8b9c0af08c20302b96398ae3129d94069a3572/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
2r36v254r,Felix and Josephine Abecede [front and back],,,,Note on back: Mrs. F. Abcede 700 1/2 Temple St. Los Angeles Calif.,,,,,"MS0002-- BOX 1-- FOLDER 25 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-2-f-01-25-01,Image,Photographic print,image/jpeg,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/00321fc3add6931a30de2afd1a00e32afd41e895/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/00321fc3add6931a30de2afd1a00e32afd41e895/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/00321fc3add6931a30de2afd1a00e32afd41e895/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
xw42nc441,List of Officers Wives of the 40th Division,,,,"Address Directory for the Officers Wives of the 40th Division, undated",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 26 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-2-g-01-26-01,Text,Document,image/jpeg,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/dfb29d8efff0d1bca5ec755f34c2cbafa664383a/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/dfb29d8efff0d1bca5ec755f34c2cbafa664383a/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/dfb29d8efff0d1bca5ec755f34c2cbafa664383a/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
dj52w858v,Directory of Officers Living Off Post 1941,,1941-03-28,1941-03-28,"Address directory of officers living offpost, in San Luis Obispo County, 1941",,"San Luis Obispo, United States, California",,,"MS0002-- BOX 1-- FOLDER 27 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-2-g-01-27-01,Text,Document,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/08612s81m,,https://archives.calstate.edu/downloads/08612s81m?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
6395wc06f,Officers Families Residing in Vicinity of Camp SLO,,,,Address Directory of officers' families living near Camp San Luis Obispo and in San Luis Obispo County,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 28 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-2-g-01-28-01,Text,Letter,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/ws859k444,,https://archives.calstate.edu/downloads/ws859k444?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
7w62fd29m,Junior Red Cross Lunch Room Program,,1918-08-01,1918-08-01,"Booklet with local advertisements in San Luis Obispo, the day's lunch menu and prices, of the Junior Red Cross Lunch Room",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 29 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-2-g-01-29-01,Text,Document,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/0k225f81d,,https://archives.calstate.edu/downloads/0k225f81d?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
n583xz61d,Red Cross Parade Photograph [front and back],,1905-04-01,1905-04-01,Note on back of photograph reads: Grace Barneberg Photo in front of Civic Auditorium,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 30 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-2-g-01-30-01,Image,Photographic print,image/jpeg,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/184e8fb3bda7048f88f52776a0f659ea59500d4b/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/184e8fb3bda7048f88f52776a0f659ea59500d4b/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/184e8fb3bda7048f88f52776a0f659ea59500d4b/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
